GUI,公司名稱,地址,電話1,電話2
80162619,瑋德國際股份有限公司,臺北市大同區建泰里南京西路６６號１１樓,02-2515-6408,
28687494,紳岱企業股份有限公司,臺北市大同區建功里鄭州路８７號１０樓之２,02-27200033,
28836473,光蕙國際貿易有限公司,臺北市大同區建功里重慶北路１段３０之１號,02-85216655,
89458037,尚椿貿易有限公司,臺北市大同區建明里太原路５２號１樓,02-25590058,
20879836,喬旺股份有限公司,臺北市大同區建功里華亭街１４號１樓,02-25513903,
7692696,建旭工業股份有限公司,臺北市大同區老師里重慶北路３段２７６號４樓,02-25910954,02-25983147
13160492,雄線實業有限公司,高雄市楠梓區仁昌里壽豐路４５２號７樓之２,76243728,
29023832,聖昌貴金屬有限公司,高雄市楠梓區翠屏里德祥路１８６號１樓,931950884,
27704235,銓大珠寶有限公司,高雄市楠梓區和昌里後昌路７８９號１樓,73959751,
13143678,上和勤實業有限公司,高雄市楠梓區清豐里寶溪北街４８號１樓,72719188,
29186589,達磨電子股份有限公司,高雄市楠梓區瑞屏里經三路２７號之１,,
23440439,舜遠科技股份有限公司,新竹市東　區新竹科學工業園區工業東二路１７號１樓,035823000-821,
53641102,茲登樂有限公司,彰化縣溪湖鎮湖西里１４鄰二溪路１段２１６號１樓,04-8656706,
12797919,廣明峰國際有限公司,桃園市蘆竹區上竹里５鄰上竹路８１號,03-3135373,
5949192,正利工業社,彰化縣和美鎮鎮平里嘉佃路１７０巷２３號,04-7719316,
4539684,立煒工業有限公司,臺北市松山區南京東路５段３５６號９樓之２,02-23924177,
73732690,詠統工業股份有限公司,臺南市永康區尚頂里中正南路３０４號,06-2534569,
22619528,好立實業有限公司,臺北市中山區德惠街１９８巷１５號１樓,02-25951834,
59301875,榮璇實業有限公司,彰化縣花壇鄉橋頭村花橋街１２０?１號１樓,047-865994,
84462223,萬福通國際有限公司,臺中市大里區仁德里３４鄰金山街２３號,04-24069503,
24355608,特普汽配有限公司,臺中市龍井區東海里７鄰遠東街２０４巷７號１樓,04-26310098,
28757792,車祐企業有限公司,高雄市鳥松區仁美里１６鄰北平路９號１樓,07-2111606,
59283829,能群企業股份有限公司,彰化縣和美鎮鎮平里彰草路２段７２０號,047-526325,
24231473,台灣科光實業有限公司,臺南市南 區金華里金華路２段８１巷５－１號１樓,06-2619378,
96897200,昱昌國際企業有限公司,臺南市南 區國宅里金華路２段１５巷７１號１樓,06-2675986,
23831061,帥能企業有限公司,臺南市南 區新昌里西門路１段５３５號,02-22250432,
84743955,歐湘有限公司,臺北市信義區光復南路５０５號１２樓之７,02-27585255,
27762332,俊富國際貿易有限公司,新北市中和區中原里立德街１４８巷４６號７樓,02-2987-2776,
